iso,composer
ro,Handel
ro,Monteverdi
ro,"Tchaikovsky,P"
ro,Barbu
ro,Erkel
ro,Johnson
rs,Frisina
rs,"Wagner,Richard"
rs,Cimarosa
rs,Gotovac
rs,Poulenc
rs,Tariverdiev
rs,Vrebalov
ru,Piazzolla
ru,Gershwin
ru,Berg
ru,Ehrenberg
ru,Gluck
ru,Martynov
ru,Milhaud
ru,Poulenc
ru,Reise
ru,Satie
ru,Weber
ru,Honegger
ru,Pergolesi
ru,Polskiy
ru,Batin
ru,Kourliandski
ru,Minkov
ru,"Tchaikovsky,Alexander"
ru,Berlioz
ru,Orff
ru,Saint-Saens
se,Donizetti
se,Gluck
se,Halevy
se,Monteverdi
se,Alfven
se,Massenet
se,"Strauss,R"
se,Eiriksdottir
se,Giordano
se,Purcell
se,"Tchaikovsky,P"
se,Valtinoni
se,Kraus
sg,Mozart
sg,Nyman
sg,Verdi
si,Rossini
si,Donizetti
si,"Dvorak,A"
sk,Dusik
sk,"Dvorak,A"
sk,Birtwistle
sk,Cekovska
sk,Leoncavallo
sk,Martinu
sk,Mascagni
sk,"Strauss,R"
th,"Wagner,Richard"
tr,Haydn
tr,Tulebayev
tr,"Liebermann,L"
tr,"Tchaikovsky,P"
tr,Offenbach
uk,"Brooke,E"
uk,Coll
uk,Bertoni
uk,Gluck
uk,Cavalli
uk,Monteverdi
uk,Musorgsky
uk,Debussy
uk,Getty
uk,Henze
uk,"Schoenberg,A"
uk,Turnage
uk,Wallen
uk,Gruber
uk,Tippett
uk,LeFanu
uk,Berlioz
uk,Ades
uk,Anderson
uk,Arne
uk,Bedford
uk,Borodin
uk,Cilea
uk,Dallapiccola
uk,Dove
uk,Francesconi
uk,Frost
uk,"Herbert,M"
uk,Jommelli
uk,Montsalvatge
uk,Rimsky-Korsakov
uk,Stradella
uk,Treacher
us,Weill
us,Schubert
us,Suppe
us,Weber
us,Bolcom
us,Felsenfeld
us,Musto
us,"Gordon,R"
us,Beeson
us,Adams
us,Nyman
us,Orff
us,"Moore,D"
us,"Dvorak,A"
us,Ellington
us,Ullmann
us,Korngold
us,Machover
us,Myers
us,Soluri
us,Crozier
us,Picker
us,Weinberg
us,Marsalis
us,Moravec
us,Levy
us,Henze
us,Marschner
us,Alfano
us,Beecher
us,"Berger,J"
us,Berg
us,Borodin
us,Copland
us,Haydn
us,Hindemith
us,Mechem
us,Milhaud
us,Muhly
us,Okoye
us,Philidor
us,Ratniece
us,Rimsky-Korsakov
us,Sankaram
us,Shostakovich
us,Thomson
us,Toch
us,Turnage
us,Wargo
us,Sokolovic
us,Gorb
us,Huang
us,Aldridge
us,Tesori
uy,Puccini
za,Puccini
za,Rossini
al,Leoncavallo
al,Verdi
ar,Francesconi
ar,Gounod
ar,Leoncavallo
ar,Mascagni
ar,Massenet
ar,Puccini
at,Dostal
at,Banchieri
at,Lully
at,"Schoenberg,A"
at,Ullmann
at,Orff
at,Caldara
at,Mahmoud
at,Rihm
at,Ades
at,Auerbach
at,Cerha
at,Gassmann
at,Halevy
at,Hasse
at,Milhaud
at,Paisiello
at,Provenzale
at,Ravel
at,Sciarrino
at,Trojahn
au,Gounod
au,Wolf-Ferrari
au,Bernstein
au,"Strauss,J"
au,Grandage
au,Gluck
au,Vivaldi
ba,Gotovac
be,Glass
be,Halevy
be,Musorgsky
be,Van Parys
be,Bjork
be,Lens
be,"Martin,F"
be,Paisiello
be,Rakhmaninov
be,Rihm
be,Schumann
be,Benatzky
be,Massenet
be,Nicolai
bg,Jossifov
bg,Kosev
bg,Baumgartner
bg,Gluck
bg,Pergolesi
bg,Robertson
bg,Shostakovich
bg,Atanasov
bg,Saint-Saens
bg,Cilea
